Vocabulary Size , Context Size , Embedding Mode , Embedding Size , Question Type , Answer Vocabulary Size , Question , (Average) Relative Rank , Answer
500 , 1 , word , 20 , Gender  ,  ,  , -1,
500 , 1 , word , 20 , Conjugation  , 500 , take:taking::go:going  , 0.016000000000000014 , sure
500 , 1 , word , 20 , Conjugation  , 500 , take:took::go:went  , 0.16200000000000003 , sure
500 , 1 , word , 20 , Conjugation  , 500 , take:took::have:had  , 0.43200000000000005 , sure
500 , 1 , word , 20 , Conjugation  , 500 , take:taken::have:had  , 0.028000000000000025 , sure
500 , 1 , word , 20 , Conjugation  , 500 , go:going::have:having  , 0.42400000000000004 , sure
500 , 1 , word , 20 , Conjugation  , 500 , have:has::do:does  , 0.010000000000000009 , sure
500 , 1 , word , 20 , Conjugation  , 500 , have:having::do:doing  , 0.976 , due
500 , 1 , word , 20 , Conjugation  , 500 , do:doing::make:making  , 0.006000000000000005 , sure
500 , 1 , word , 20 , Conjugation  , 500 , do:did::make:made  , 0.5740000000000001 , love
500 , 1 , word , 20 , Conjugation  , 500 , do:done::make:made  , 0.5880000000000001 , sure
500 , 1 , word , 20 , Conjugation  ,  ,  , 0.3216,
500 , 2 , state , 5 , Singular/Plural  , 500 , day:days::year:years  , 0.016000000000000014 , sure
500 , 2 , state , 5 , Singular/Plural  , 500 , man:men::woman:women  , 0.41200000000000003 , sure
500 , 2 , state , 5 , Singular/Plural  , 500 , country:countries::year:years  , 0.062000000000000055 , sure
500 , 2 , state , 5 , Singular/Plural  ,  ,  , 0.16333333333333336,
500 , 2 , state , 5 , Derivation  , 500 , America:American::Europe:European  , 0.0020000000000000018 , sure
500 , 2 , state , 5 , Derivation  ,  ,  , 0.0020000000000000018,
500 , 2 , state , 5 , Antonymy/Entailment  ,  ,  , -1,
500 , 2 , state , 5 , Distinction/Comparison s ,  ,  , -1,
500 , 2 , state , 5 , Distinction/Comparison  ,  ,  , -1,
500 , 2 , state , 5 , Gender  ,  ,  , -1,
500 , 2 , state , 5 , Conjugation  , 500 , take:taking::go:going  , 0.02400000000000002 , sure
500 , 2 , state , 5 , Conjugation  , 500 , take:took::go:went  , 0.904 , park
500 , 2 , state , 5 , Conjugation  , 500 , take:took::have:had  , 0.12 , sure
500 , 2 , state , 5 , Conjugation  , 500 , take:taken::have:had  , 0.10799999999999998 , sure
500 , 2 , state , 5 , Conjugation  , 500 , go:going::have:having  , 0.008000000000000007 , sure
500 , 2 , state , 5 , Conjugation  , 500 , have:has::do:does  , 0.014000000000000012 , sure
500 , 2 , state , 5 , Conjugation  , 500 , have:having::do:doing  , 0.02400000000000002 , sure
500 , 2 , state , 5 , Conjugation  , 500 , do:doing::make:making  , 0.0020000000000000018 , sure
500 , 2 , state , 5 , Conjugation  , 500 , do:did::make:made  , 0.17400000000000004 , record
500 , 2 , state , 5 , Conjugation  , 500 , do:done::make:made  , 0.028000000000000025 , sure
500 , 2 , state , 5 , Conjugation  ,  ,  , 0.1406,
500 , 2 , state , 10 , Singular/Plural  , 500 , day:days::year:years  , 0.006000000000000005 , sure
500 , 2 , state , 10 , Singular/Plural  , 500 , man:men::woman:women  , 0.0040000000000000036 , sure
500 , 2 , state , 10 , Singular/Plural  , 500 , country:countries::year:years  , 0.014000000000000012 , sure
500 , 2 , state , 10 , Singular/Plural  ,  ,  , 0.008000000000000007,
500 , 2 , state , 10 , Derivation  , 500 , America:American::Europe:European  , 0.0040000000000000036 , sure
500 , 2 , state , 10 , Derivation  ,  ,  , 0.0040000000000000036,
500 , 2 , state , 10 , Antonymy/Entailment  ,  ,  , -1,
500 , 2 , state , 10 , Distinction/Comparison s ,  ,  , -1,
500 , 2 , state , 10 , Distinction/Comparison  ,  ,  , -1,
500 , 2 , state , 10 , Gender  ,  ,  , -1,
500 , 2 , state , 10 , Conjugation  , 500 , take:taking::go:going  , 0.0020000000000000018 , sure
500 , 2 , state , 10 , Conjugation  , 500 , take:took::go:went  , 0.802 , sales
500 , 2 , state , 10 , Conjugation  , 500 , take:took::have:had  , 0.02400000000000002 , sure
500 , 2 , state , 10 , Conjugation  , 500 , take:taken::have:had  , 0.006000000000000005 , sure
500 , 2 , state , 10 , Conjugation  , 500 , go:going::have:having  , 0.0020000000000000018 , sure
500 , 2 , state , 10 , Conjugation  , 500 , have:has::do:does  , 0.0020000000000000018 , sure
500 , 2 , state , 10 , Conjugation  , 500 , have:having::do:doing  , 0.0020000000000000018 , sure
500 , 2 , state , 10 , Conjugation  , 500 , do:doing::make:making  , 0.0020000000000000018 , sure
500 , 2 , state , 10 , Conjugation  , 500 , do:did::make:made  , 0.08399999999999996 , record
500 , 2 , state , 10 , Conjugation  , 500 , do:done::make:made  , 0.0040000000000000036 , sure
500 , 2 , state , 10 , Conjugation  ,  ,  , 0.093,
500 , 2 , state , 15 , Singular/Plural  , 500 , day:days::year:years  , 0.0040000000000000036 , sure
500 , 2 , state , 15 , Singular/Plural  , 500 , man:men::woman:women  , 0.0020000000000000018 , sure
500 , 2 , state , 15 , Singular/Plural  , 500 , country:countries::year:years  , 0.01200000000000001 , sure
500 , 2 , state , 15 , Singular/Plural  ,  ,  , 0.006000000000000005,
500 , 2 , state , 15 , Derivation  , 500 , America:American::Europe:European  , 0.0020000000000000018 , sure
500 , 2 , state , 15 , Derivation  ,  ,  , 0.0020000000000000018,
500 , 2 , state , 15 , Antonymy/Entailment  ,  ,  , -1,
500 , 2 , state , 15 , Distinction/Comparison s ,  ,  , -1,
500 , 2 , state , 15 , Distinction/Comparison  ,  ,  , -1,
500 , 2 , state , 15 , Gender  ,  ,  , -1,
500 , 2 , state , 15 , Conjugation  , 500 , take:taking::go:going  , 0.0020000000000000018 , sure
500 , 2 , state , 15 , Conjugation  , 500 , take:took::go:went  , 0.696 , sales
500 , 2 , state , 15 , Conjugation  , 500 , take:took::have:had  , 0.008000000000000007 , sure
500 , 2 , state , 15 , Conjugation  , 500 , take:taken::have:had  , 0.006000000000000005 , sure
500 , 2 , state , 15 , Conjugation  , 500 , go:going::have:having  , 0.0020000000000000018 , sure
500 , 2 , state , 15 , Conjugation  , 500 , have:has::do:does  , 0.0020000000000000018 , sure
500 , 2 , state , 15 , Conjugation  , 500 , have:having::do:doing  , 0.0020000000000000018 , sure
500 , 2 , state , 15 , Conjugation  , 500 , do:doing::make:making  , 0.0020000000000000018 , sure
500 , 2 , state , 15 , Conjugation  , 500 , do:did::make:made  , 0.030000000000000027 , record
500 , 2 , state , 15 , Conjugation  , 500 , do:done::make:made  , 0.0040000000000000036 , sure
500 , 2 , state , 15 , Conjugation  ,  ,  , 0.0754,
500 , 2 , state , 20 , Singular/Plural  , 500 , day:days::year:years  , 0.0040000000000000036 , sure
500 , 2 , state , 20 , Singular/Plural  , 500 , man:men::woman:women  , 0.0020000000000000018 , sure
500 , 2 , state , 20 , Singular/Plural  , 500 , country:countries::year:years  , 0.01200000000000001 , sure
500 , 2 , state , 20 , Singular/Plural  ,  ,  , 0.006000000000000005,
500 , 2 , state , 20 , Derivation  , 500 , America:American::Europe:European  , 0.0020000000000000018 , sure
500 , 2 , state , 20 , Derivation  ,  ,  , 0.0020000000000000018,
500 , 2 , state , 20 , Antonymy/Entailment  ,  ,  , -1,
500 , 2 , state , 20 , Distinction/Comparison s ,  ,  , -1,
500 , 2 , state , 20 , Distinction/Comparison  ,  ,  , -1,
500 , 2 , state , 20 , Gender  ,  ,  , -1,
500 , 2 , state , 20 , Conjugation  , 500 , take:taking::go:going  , 0.0020000000000000018 , sure
500 , 2 , state , 20 , Conjugation  , 500 , take:took::go:went  , 0.6759999999999999 , love
500 , 2 , state , 20 , Conjugation  , 500 , take:took::have:had  , 0.016000000000000014 , sure
500 , 2 , state , 20 , Conjugation  , 500 , take:taken::have:had  , 0.006000000000000005 , sure
500 , 2 , state , 20 , Conjugation  , 500 , go:going::have:having  , 0.0020000000000000018 , sure
500 , 2 , state , 20 , Conjugation  , 500 , have:has::do:does  , 0.0020000000000000018 , sure
500 , 2 , state , 20 , Conjugation  , 500 , have:having::do:doing  , 0.0020000000000000018 , sure
500 , 2 , state , 20 , Conjugation  , 500 , do:doing::make:making  , 0.0020000000000000018 , sure
500 , 2 , state , 20 , Conjugation  , 500 , do:did::make:made  , 0.020000000000000018 , record
500 , 2 , state , 20 , Conjugation  , 500 , do:done::make:made  , 0.0040000000000000036 , sure
500 , 2 , state , 20 , Conjugation  ,  ,  , 0.0732,
500 , 2 , word , 5 , Singular/Plural  , 500 , day:days::year:years  , 0.0040000000000000036 , sure
500 , 2 , word , 5 , Singular/Plural  , 500 , man:men::woman:women  , 0.010000000000000009 , sure
500 , 2 , word , 5 , Singular/Plural  , 500 , country:countries::year:years  , 0.03400000000000003 , sure
500 , 2 , word , 5 , Singular/Plural  ,  ,  , 0.016000000000000014,
500 , 2 , word , 5 , Derivation  , 500 , America:American::Europe:European  , 0.136 , sure
500 , 2 , word , 5 , Derivation  ,  ,  , 0.136,
500 , 2 , word , 5 , Antonymy/Entailment  ,  ,  , -1,
500 , 2 , word , 5 , Distinction/Comparison s ,  ,  , -1,
500 , 2 , word , 5 , Distinction/Comparison  ,  ,  , -1,
500 , 2 , word , 5 , Gender  ,  ,  , -1,
500 , 2 , word , 5 , Conjugation  , 500 , take:taking::go:going  , 0.264 , sure
500 , 2 , word , 5 , Conjugation  , 500 , take:took::go:went  , 0.020000000000000018 , sure
500 , 2 , word , 5 , Conjugation  , 500 , take:took::have:had  , 0.22399999999999998 , record
500 , 2 , word , 5 , Conjugation  , 500 , take:taken::have:had  , 0.17200000000000004 , sure
500 , 2 , word , 5 , Conjugation  , 500 , go:going::have:having  , 0.636 , sure
500 , 2 , word , 5 , Conjugation  , 500 , have:has::do:does  , 0.01200000000000001 , sure
500 , 2 , word , 5 , Conjugation  , 500 , have:having::do:doing  , 0.6619999999999999 , love
500 , 2 , word , 5 , Conjugation  , 500 , do:doing::make:making  , 0.12 , sure
500 , 2 , word , 5 , Conjugation  , 500 , do:did::make:made  , 0.41600000000000004 , sure
500 , 2 , word , 5 , Conjugation  , 500 , do:done::make:made  , 0.45599999999999996 , love
500 , 2 , word , 5 , Conjugation  ,  ,  , 0.29819999999999997,
500 , 2 , word , 10 , Singular/Plural  , 500 , day:days::year:years  , 0.0040000000000000036 , sure
500 , 2 , word , 10 , Singular/Plural  , 500 , man:men::woman:women  , 0.018000000000000016 , sure
500 , 2 , word , 10 , Singular/Plural  , 500 , country:countries::year:years  , 0.10799999999999998 , sure
500 , 2 , word , 10 , Singular/Plural  ,  ,  , 0.043333333333333335,
500 , 2 , word , 10 , Derivation  , 500 , America:American::Europe:European  , 0.052000000000000046 , sure
500 , 2 , word , 10 , Derivation  ,  ,  , 0.052000000000000046,
500 , 2 , word , 10 , Antonymy/Entailment  ,  ,  , -1,
500 , 2 , word , 10 , Distinction/Comparison s ,  ,  , -1,
500 , 2 , word , 10 , Distinction/Comparison  ,  ,  , -1,
500 , 2 , word , 10 , Gender  ,  ,  , -1,
500 , 2 , word , 10 , Conjugation  , 500 , take:taking::go:going  , 0.018000000000000016 , sure
500 , 2 , word , 10 , Conjugation  , 500 , take:took::go:went  , 0.04600000000000004 , record
500 , 2 , word , 10 , Conjugation  , 500 , take:took::have:had  , 0.30800000000000005 , record
500 , 2 , word , 10 , Conjugation  , 500 , take:taken::have:had  , 0.486 , love
500 , 2 , word , 10 , Conjugation  , 500 , go:going::have:having  , 0.946 , financial
500 , 2 , word , 10 , Conjugation  , 500 , have:has::do:does  , 0.006000000000000005 , sure
500 , 2 , word , 10 , Conjugation  , 500 , have:having::do:doing  , 0.72 , love
500 , 2 , word , 10 , Conjugation  , 500 , do:doing::make:making  , 0.05600000000000005 , sure
500 , 2 , word , 10 , Conjugation  , 500 , do:did::make:made  , 0.5720000000000001 , sure
500 , 2 , word , 10 , Conjugation  , 500 , do:done::make:made  , 0.128 , sure
500 , 2 , word , 10 , Conjugation  ,  ,  , 0.32860000000000006,
500 , 2 , word , 15 , Singular/Plural  , 500 , day:days::year:years  , 0.0040000000000000036 , sure
500 , 2 , word , 15 , Singular/Plural  , 500 , man:men::woman:women  , 0.0040000000000000036 , sure
500 , 2 , word , 15 , Singular/Plural  , 500 , country:countries::year:years  , 0.050000000000000044 , sure
500 , 2 , word , 15 , Singular/Plural  ,  ,  , 0.01933333333333335,
500 , 2 , word , 15 , Derivation  , 500 , America:American::Europe:European  , 0.07399999999999995 , sure
500 , 2 , word , 15 , Derivation  ,  ,  , 0.07399999999999995,
500 , 2 , word , 15 , Antonymy/Entailment  ,  ,  , -1,
500 , 2 , word , 15 , Distinction/Comparison s ,  ,  , -1,
500 , 2 , word , 15 , Distinction/Comparison  ,  ,  , -1,
500 , 2 , word , 15 , Gender  ,  ,  , -1,
500 , 2 , word , 15 , Conjugation  , 500 , take:taking::go:going  , 0.020000000000000018 , sure
500 , 2 , word , 15 , Conjugation  , 500 , take:took::go:went  , 0.348 , sure
500 , 2 , word , 15 , Conjugation  , 500 , take:took::have:had  , 0.29800000000000004 , sure
500 , 2 , word , 15 , Conjugation  , 500 , take:taken::have:had  , 0.14 , sure
500 , 2 , word , 15 , Conjugation  , 500 , go:going::have:having  , 0.708 , research
500 , 2 , word , 15 , Conjugation  , 500 , have:has::do:does  , 0.008000000000000007 , sure
500 , 2 , word , 15 , Conjugation  , 500 , have:having::do:doing  , 0.852 , investigation
500 , 2 , word , 15 , Conjugation  , 500 , do:doing::make:making  , 0.010000000000000009 , sure
500 , 2 , word , 15 , Conjugation  , 500 , do:did::make:made  , 0.616 , research
500 , 2 , word , 15 , Conjugation  , 500 , do:done::make:made  , 0.394 , record
500 , 2 , word , 15 , Conjugation  ,  ,  , 0.33940000000000003,
500 , 2 , word , 20 , Singular/Plural  , 500 , day:days::year:years  , 0.0040000000000000036 , sure
500 , 2 , word , 20 , Singular/Plural  , 500 , man:men::woman:women  , 0.006000000000000005 , sure
500 , 2 , word , 20 , Singular/Plural  , 500 , country:countries::year:years  , 0.04800000000000004 , sure
500 , 2 , word , 20 , Singular/Plural  ,  ,  , 0.01933333333333335,
500 , 2 , word , 20 , Derivation  , 500 , America:American::Europe:European  , 0.07799999999999996 , sure
500 , 2 , word , 20 , Derivation  ,  ,  , 0.07799999999999996,
500 , 2 , word , 20 , Antonymy/Entailment  ,  ,  , -1,
500 , 2 , word , 20 , Distinction/Comparison s ,  ,  , -1,
500 , 2 , word , 20 , Distinction/Comparison  ,  ,  , -1,
500 , 2 , word , 20 , Gender  ,  ,  , -1,
